Course,Job_Titles
Bachelor of computing,Graduate/Junior Developer
Bachelor of Economics,"Reseach Manager,  Analysist,  Specialist,  Analysist,  Specialist"
Bachelor Of Engeneering In Computer Science,"Software Developer,  Application Developer,  Application Developer, Software Developer"
Bachelor Of Engineering,"General Manager,  Head of IT,  Head of IT, Developer,  Developer"
Bachelor of Engineering,"Software Engineer,  Mobile Developer,  Front-End Developer"
Bachelor of Engineering,"support,  c#,  sql,  software"
Bachelor of Engineering (Elec),"Senior Developer,  Standards Consultant,  Analytics Consultant,  Project Engineer,  Engineer,  Assistant Engineer"
Bachelor of Engineering (Hon) Industrial & Manufacturing Engineering,"Supply Chain Planning Manager, Logistics Support Controller,  Industrial Engineering Consultant,  Graduate Trainee Plant Engineer,  Manufacturing Systems Developer,  Maintenance Stores Assistant,  Production Supervisor Then Production Analyst,  u""Attache""]"
Bachelor of Engineering Computer Systems and Networks,"Java Developer Senior,  Software Developer"
Bachelor of Engineering Electronics ,"Senior developer,  Development manager,  C++ developer, Director,  System Owner"
Bachelor Of Engineering In Aeronautical Engineering,"Web Application Developer,  Senior Web Application Developer,  Web Developer,  Senior Web Developer,  IT Development Manager,  Development Manager Software,  Web Development Manager"
Bachelor Of Engineering In Computer Science,"Software Developer,  Senior PHP Developer,  Technical Lead,  PHP/JAVA/GIS Developer, PHP Developer,  Software Enginner"
Bachelor Of Humanaties,"Training Team Lead,  Project Manager,  Instructional Designer,  SAP Training Specialist,  SAP Trainer,  Learning and Development Manager],  Training and Development Manaher,  Global Training Manager,  Learning Development Specialist,  Senior Training Specialist, Senior Principal Consultant,  Oneerp Content Developer,  SAP Training Specialist,  HR Training Team Lead,  SAP Training Consultant,  SAP Document Developer,  Assistant Training Team Lead,  SAP HR Document Developer and Trainer"
Bachelor of Information Science degree,"IT,  Project Support,  Project Designer,  Software Programmer"
Bachelor of Information Systems Multimedia,"C# Developer,  Software Developer,  Team Lead,  Software Developer, Software Developer,  PHP Web Application Developer,  Software Developer,  Security Supervisor"
Bachelor of Information Technology,IT Developer
Bachelor Of Information Technology,"Java Developer,  Software Developer,  Software Developer"
Bachelor of Information Technology,Solutions architecht
Bachelor of Laws,"Administration,  Legal Admin,  Complaints Officer"
Bachelor of Marketing Management,"Market Research Analyst,  Customer Service,  Business Adviser, Regional Coordinator,  Marketing Research Executive"
Bachelor Of Science,"Business Intelligence Manager, Junior Systems Analyst,  u""Systems Support Consultant Analyst"",  Junior Oracle PL SQL Developer Analyst,  Computer Literacy Tutor,  Perishable Merchandiser"
Bachelor of Science,"Data Analyst,  Spatial Data,  Database Developer, y2k Compliancy Analyst,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Analyst Developer"
Bachelor of Science,"Developer, Administrative Clerk"
Bachelor Of Science,"Head: Customer Segment,  Head: Customer Insights,  Head: Customer Insights, Actuarial Analyst"
Bachelor Of Science,"MIS Manager,  Data Wareouse Architect,  Data Wareouse Architect, Team Leader Data Warehouse"
Bachelor of Science,"Oracle Application Technical Lead, Oracle Analyst Developer,  Consultant"
Bachelor of Science,"PHP Developer, Sofware Systems Developer,  Junior Software Systems Developer,  Intern Software Systems Developer"
Bachelor of Science,"Project Manager,  System Analyst,  Software Development Manager,  Team Lead,  Scrum Master, Software Developer,  Software Developer,  Programmer,  Software Developer,  Programmer,  Programmer,  Programmer"
Bachelor of Science,Senior Developer
Bachelor of Science,"Senior Developer,  IT Team Leader,  IT Team Leader, Head of the Maths Department"
Bachelor of Science,"Senior Developer,  Senior Developer,  Shelf Packer"
Bachelor of Science,"Senior Programmer,  Senior Programmer,  Senior Programmer,  Senior Programmer,  Senior Programmer,  Systems Analyst Analyst Programmer,  Software Engineer,  Software Developer"
Bachelor Of Science,Senior Software Engineer
Bachelor Of Science,"Snr Oracle developer,  Systems Developer,  TIA Developer,  Systems Developer, Business Analyst Intern,  Tutor"
Bachelor of Science,"Software Developer,  Software Developer,  Software Developer"
Bachelor of Science,"Software Engineer,  Software Developer C#.NET,  Software Developer,  Solution Architect, IT Developer"
Bachelor of Science,"Systems Analyst,  C++ Developer,  I.T. Consultant,  Own Company Sole Proprietor,  Lecturing Assistant,  Financing Clerk"
Bachelor of Science ,.Net Developer
Bachelor of Science ,south africa anywhere
Bachelor of Science ,"UI developer,  UI engineer,  front end engineer,  UX designer, Front End Developer & Designer"
Bachelor of Science  - Mathematical Sciences,"Analyst,  Business Analyst,  Reports/Database Developer,  Business Analyst,  Reports/Database Developer, Business Analyst,  Mathematics and Science Tutor,  Mathematics and Science Tutor,  Coordinator of Various Projects P.A. Secretarial,  I.T. and Project Management Assistant"
Bachelor of Science  (Computer Science And Apllied Mathematics),Java Developer
Bachelor of Science  (Hon) Computer Science,"Systems Developer,  Systems Developer,  Information Technology Support Specialist"
Bachelor of Science  (HONS) Applied Mathematics,"Quantitative Analyst,  Actuarial Analyst,  Financial Analyst, Business Analyst,  Financial Planner,  Advanced Query Resolution Analyst,  Product Developer"
Bachelor of Science  (Hons) Computer Science,"BI Developer,  Business Analyst,  SQL Developer,  SSIS, Analyst Developer"
Bachelor of Science  (Hons) Computer Science,"Oracle Applications Programmer,  Oracle Systems Developer,  Attach\xe9"
Bachelor of Science  (Hons) Computer Science,Oracle Developer
Bachelor of Science  (Informatics),"head of BI,  Head of Analytics,  Head of MI,  Head of MIS,  Head of Data,  CIO,  Chief Data Officer,  Digital Officer,  MIS Manager, BI Data Manager,  Solutions BI Consultant,  MIS Manager,  MIS Team Leader,  MIS Developer,  Team Leader,  Point of Contact,  Technical Assistant"
Bachelor of Science  (Information Technology Management),"Data Analyst,  Integration Specialist,  ETL Develper,  Microsoft Senior BI Developer"
Bachelor of Science  (It),C# Developer
Bachelor of Science  (It),Continuity Presenter
Bachelor of Science  \u2013 Computer Science And Mathematics,Web Developer Programmer
Bachelor of Science - Applied Mathematics & Computer Science,"Mobile Developer,  Software Developer"
Bachelor of Science  Business & Franchise Management,"IT Manager, IT Manager"
Bachelor of Science  Business Information Technology,"Business Analyst,  Client Service Manager,  Software Developer"
Bachelor of Science  business information technology,"Java Developer,  Scrum Master,  Development Manager, Java Developer,  Java Developer"
Bachelor of Science  Comp Science,"Business Analyst,  Support Technician,  Technical Administrator,  Clerk,  Clerk"
Bachelor of Science  Computer Science,"C#.NET Developer,  C# Web Developer,  Microsoft Developer"
Bachelor of Science  Computer Science,Intermediate Java Developer
Bachelor of Science  Computer Science,IT Assistant
Bachelor of Science  Computer Science,"Java Developer,  Developer"
Bachelor of Science  Computer Science,"Project manager, IT Manager,  Business Analyst Business Analyst Developer"
Bachelor of Science  Computer Science,"Senior Integration Designer,  Integration Specialist, Feeds Developer,  Programmer"
Bachelor of Science  Computer Science,"Snr Developer,  IT Manager,  IT Manager, Developer,  Developer,  Developer,  Developer,  External Marker"
Bachelor of Science  Computer Science,Software Developer
Bachelor of Science  Computer Science,software developer
Bachelor of Science  Computer Science,"Software Developer C#.NET,  Business Intelligence Developer"
Bachelor of Science  Computer Science,"Software Developer,  C# Developer,  PHP Developer,  Intermediate PHP Developer, IT Lecturer"
Bachelor of Science  Computer Science,"SOFTWARE DEVELOPER,  Delphi Developer,  C++ Developer,  Mobile Developer"
Bachelor of Science  Computer Science,"sql developer,  SQL Database Administrator,  Web Administrator,  SQL Server Developer,  Database Designer,  Database Developer,  C# Developer,  Web designer"
Bachelor of Science  Computer Science & Informatics,"SharePoint, Junior Security Monitoring Agent"
Bachelor of Science  Computer Science &Mathematics,Software Developer
Bachelor of Science  Computer Science (Incomplete),"Database/BI Developer, Data Capturer"
Bachelor of Science  Computer Science / Applied Mathematics,"PHP Developer,  PHP Web Developer,  Senior PHP Developer,  Intermediate PHP Developer,  Senior PHP Analyst Developer Web"
Bachelor of Science  Computer Science + Math,"SAP ABAP Consultant,  SAP ABAP Developer,  SAP Developer"
Bachelor of Science  Computer Science 3yrs,Senior Analyst Application Developer Ebusiness
Bachelor of Science  Computer Science and Electronics,"IT Technicians,  Support Analyst,  Service Desk"
Bachelor of Science  Computer Science and Environmental Science,Java Developer
Bachelor of Science  Computer Science and GIS,Java Developer
Bachelor of Science  Computer Science and Informatics,"BI Developer,  BI Analyst"
Bachelor of Science  Computer Science and Informatics,"BI Developer,  SQL Developer"
Bachelor of Science  Computer Science and Informatics,web developer
Bachelor of Science  Computer Science and Informatics Honours,"SQL Developer,  BI Developer,  Data Analyst,  Data Warehouse Developer"
Bachelor of Science  Computer Science And Information  Technology,"Application Support,  Linux/Unix Systems administrator,  Linux Administrator,  Systems Integration, Systems Integrator,  Java Developer and Systems Intergrator,  Java Developer,  Application Administration,  Tutor"
Bachelor of Science  Computer Science And Information Systems,"java programmer,  Computer Science"
Bachelor of Science  Computer Science and Information Systems,Oracle Developer
Bachelor of Science  Computer Science and information technology,"IT Developer,  IT Development Manager,  .NET C# Developer,  Java Programmer,  Oracle Developer,  Unix Operator,  Android Developer,  Mobile Developer"
Bachelor of Science  Computer Science And Information Technology,"Part Time Lecturer,  Developer,  Promoter"
Bachelor of Science  Computer Science And Information Technology,"Senior Developer,  Systems Analyst,  Web Developer,  Software Engineer,  Systems Analyst, Senior Developer,  C# Software Developer,  Junior C# Developer,  Educator,  Logistics Clerk,  Educator,  Educator,  Promoter"
Bachelor of Science  Computer Science and IT,"Software Engineer,  Software Developer,  C# Software Engineer,  Business Analyst,  System Support,  Junior System Engineer"
Bachelor of Science  Computer Science And It,"System Developer,  System Tester,  System Analyst,  System Tester,  System Analyst"
Bachelor of Science  Computer Science and Mathematics,"Junior Software Developer,  Junior Java Developer"
Bachelor of Science  Computer Science and Mathematics,Software Developer
Bachelor of Science  Computer Science and Statistics,"Database Developer,  Systems Analyst,  Systems Administrator,  Reporting Analyst,  Report Developer,  Business Intelligence Developer, IT Technician"
Bachelor of Science  Computer Science honors,"software engineer,  java developer,  SQL, Android application development intern,  tutor"
