career,course,universities,job_titles,skills
,Bachelor of Science  Honours Actuarial Science,,"Actuarial Analyst,  Actuarial Assistant","Microsoft Office,  Data Analysis,  Mathematics,  R"
,Bachelor of Science  Honours in Pure Mathematics,,"BI,  SAP Business Analyst,  Data Scientist","Microsoft Office,  Latex,  SAP BW,  SAP business proccess,  Business intelligence,  SAP business object,  Matlab,  C++,  R"
,Bachelor of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",Solutions architecht,"XML); Project management (Waterfall,  jQuery,  Kanban); Sage X3 People (Installation,  C#); Scripting (HTML,  development,  SQL; Object Orientated Programming (java,  project management and training in the professional space).,  JavaScript,  SCRUM"
,Honours Degree In Psychology,,"HR Consultant / Practitioner,  Talent Consultant,  Talent Consultant, Student Counsellor & Career Developer,  HR Administrator & Recruitment Consultant","Microsoft Office,  Management And Organising,  General Counselling"
,"Enterprise Java Architech In IbmS Websphere""",,Lotus Notes Developer,"Computer Hardware(Building And Fixing Computers,  Html Web Programming,  Lotus Notes 6 Clp & Plp,  Adobe Photoshop,  Coral Draw Animated Giffs,  Java Script,  Graphics Designer,  Websphere J2ee And Portal,  Lotus Script"
,Web & Graphic Design,,"Web Graphic Designer,  Front-end Developer,  UX / UI designer","HTML,  CSS,  Adobe Photoshop,  Web Design,  Adobe Illustrator,  Front-End Developer,  Ui / Ux Design,  Jquery"
,Bachelor of Commerce Information Systems,,"System Analysist,  System Programming,  System Testing,  Websie Development, Dining Hall Monitor","Team player,  Project Management.,  good communication,  leadership,  C#,  integration testing,  sql server 2008/2013,  .NET,  manual testing"
,Higher Diploma Information Management Systems,,"Freelance PHP Developer,  Full stack developer,  Web Developer,  PHP Developer, Business Development Manager,  Operations Manager,  Webmaster,  Head of Interactive Department,  Assistant Webmaster","Web Design,  angularjs,  MySQL,  PHP,  CSS,  SASS,  jQuery,  Cordova,  Phonegap"
,Zend Certified Engineer,,"Web Developer,  Front-End Developer,  Full Stack Developer, Market Agent,  IT Director,  IT Technician","Mysql Developer,  Microsoft Office,  Adobe Photoshop,  Php Developer,  Object Orientated Programming,  Source Control - GIT,  CSS and CSS3,  Source Control - SVN,  HTML5"
,Admission to persuit a Bachelors,,"Administrative data analyst software engineer.,  Application Developer,  Web Developer","Logical Problem Solving,  Communication Skills,  Microsoft Office,  Analytical Problem Solving,  JavaScript,  Python,  Python html css java,  Multilingual,  Report drafting"
,Higher National Diploma,,System Analyst,"Team player,  Adobe Flash,  Visual studio,  Good communication skills,  Analyst,  Designer,  Hard worker,  SQL,  java"
,Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","PHP Development,  Linux System Administrator,  Linux Engineer, Level 1 2 Support,  Oracle Trainee JNR Linux Admin,  Computer Operator","Linux,  Bash,  Php & Mysql,  Mikrotik,  HTML,  Nagios,  Laravel,  Cakephp,  Java"
,Bachelor in Technology,,Software Developer,"hfuewnc,  kasmxkmkm,  bxhn,  xghbqjwjdx,  bcHbhB,  SHXN,  all kind of skills,  NV,  edUNJND"
,Practical Testing Software,,"ETL Developer,  Tester,  Database Administrator,  data analyst,  Database Administrator","Quality centre,  JCL,  PL1,  Roscoe,  DB2,  Command Editor,  SQL,  COBOL,  Microsoft SQL Server Management Studio"
,"Ar System (Administrator) BmcS Action Req. System""",,Contractor,"Microsoft Access,  HTML,  Visual Basic,  O/S Dos,  O/S Windows 98,  Microsoft Word,  Ars Remedy,  It - Systems Integration,  Microsoft Powerpoint"
,Software Engineering ,"Moringa School, eMobilis Training Institute",,"ASP,  HTML,  C,  Java Script,  Unix,  SQL,  Pro C,  Ajax,  Java"
,Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Network Administrater,  Android Developer,  Android Mobile Developer,  Junior Java Developer,  Software Developer,  Web Developer,  PHP Web Developer,  Java Developer","Android Studio,  Java,  .php,  C#,  codeigniter,  Android Developer,  php,  mvc,  Adsl Technical Support"
,Bachelor of Technology: Software Development,,"ETL Developer,  Developer,  SAP Consultant, Programmer,  Technical Trainer","Microsoft Business Intelligence,  SSIS,  SSRS,  ETL,  Programming,  Training,  Configuration Sap Hcm,  Java,  C#"
,Bachelor in Technology information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","ABAP Developer,  SAP ABAP Consultant, Trainee Systems Analyst,  Intern","Debugs and corrects complex SAP module problems by using ABAP programming language to implement OSS notes.,  Designs,  \u2022,  Designs forms and screens for SAP modules using tools such as SAPscript and SmartForms and Adobe Forms . \u2022,  Creates specialized reports for SAP modules using ABAP programming languages. \u2022,  and tests complex programs for SAP modules and functions using ABAP programming language. \u2022,  develops,  codes,  Programming"
,Busines Information Systems,,"Business Analyst,  System Analyst,  Project Manager,  System Analyst,  Project Manager","Functional Specifications Test Scripts and Business process modeling,  Software development skills,  Microsoft,  As Is Analysis,  System Design,  Requirements Analysis,  Test Packs,  Process Mapping Using Visio,  Hp Quality Testing"
,Bachelor\u2019s Degree,,"C#,  Software Architect,  Software Development Team Lead,  Development Team Leader,  Development Team Lead,  Senior Application Solution Architect, Junior .NET Developer","Design Patterns & Cloud Design Patterns,  Microsoft Visual C#,  SOLID & Domain Driven Design (DDD),  Windows Communication Foundation (WCF).,  ASP.NET MVC,  ADO.NET,  Continuous Delivery (CD),  ASP.NET Core,  Azure Service Fabric"
,National Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",Automation Engineer,"Ranorex,  C#,  SQL,  selenium,  Automation"
,Microsoft Certified Specialist,,"Facilitator,  Web Developer,  Developer,  C# Developer,  Java Developer, Facilitator Trainer","Training,  Programming,  Systems Analysis,  Time Management,  Listening.,  Communication,  Flexible,  Programming.,  Management"
,Electrical Engineering,,"engineer,  developer,  analyst,  consultant, Teacher,  IT Developer,  Consultant,  Researcher and Developer,  Developer and Administrator","Eft And Payments,  Visa Dispute Resolution,  Programming Languages,  Databases,  Organisational Skills,  Telecommunication Protocols,  Visa Net Financial Management,  Metal Works"
,High School,,"Arhitecture,  Web design,  Web design, Draughtsmen","Sketchup,  Autocad,  Website Design,  3d Max,  Draughtman,  Graphics"
,Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Technology Specialits,  Vb.Net Developer,  VB Developer,  VB Programmer,  Junior VB Developer,  Dot NET Developer","MS Visual Studio,  Visual Basics,  Vb.Net,  Network Configuration,  PC Hardware Configuration,  Backup Configuration,  MS Windows,  Microsoft Office,  MS Visio"
,Master Specialized Management And Marketing,,"sales,  customer service,  export,  customer service,  export, Businnes Developer,  Assistant Client Manager,  Junior Sales","Business Development,  Customer Relation,  Satisfaction,  E - Commerce,  Sales,  Marketing"
,Microsoft Exam 486,,"Team lead,  Architect,  Senior software Devloper,  Analyst Developer,  Senior software Devloper,  lead developer, K2.Net Consultant,  Senior Software Developer BI Architect,  Software Developer,  Software Developer,  .NET Developer,  Web Developer,  Programmer","Asp.Net,  Sql Server,  T-Sql,  C#.Net,  Xml,  Vb.Net,  UML,  Web Services,  html 5"
,Bachelor of Computer Application,,"UI Developer,  AngularJS Developer,  Software Developer,  Senior Software Developer, UI Developer","AngularJS,  BackboneJS,  BootstrapJS,  HTML5,  ECMA6,  TypeScript,  OOJavaScript,  CSS,  HTML"
,Bachelor Of Commerce Honours,,,"Typing,  Communication Skills,  Microsoft Office Skills"
,Studying Microsoft Certified Solution Developer,,"Web Developer Consultant,  Web Designer Customer Relations Manager,  Sales and Marketing Executive","Dream Weaver Mx, Flash Mx, Fireworks Mx, Photoshop,  Html, Jdbc/Odbc, Web Logic, Ensight, Rodopi"
,Bachelor of Science (Informationsystems),,Junior Developer,"Computer Science,  Java Development,  Information Systems,  C/C++ Development,  C#/Asp.Net Development,  Accountancy,  Supply Chain Management,  Marketing Management,  Financial Management"
,Vzap It Certificate- 4 Months Full Time,,,"Sap Abap Development,  Java Development"
,Beng Aeronautical And Aerospace,,"DBA,  Application Developer/ Analyst,  Application Developer/ Analyst, Market Data Analyst","Data Analysis,  Ms-Office Vba,  Business Objects Reports,  Crystal Xcelsius,  SQL,  Business Objects Universe Design,  Pl Sql"
,Bachelor of Science (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Software Development,  IT Project Manager, IT Project Manager,  Software Developer","CMMI and Projects management.,  Linux,  Database administration,  documentation,  web development,  system analysis,  Agile/Feature Driven/Test Driven/ Iterative Development,  Object Oriented Analysis and Design and development,  MySQL"
,Bachelor of Laws,,"Administration,  Legal Admin,  Complaints Officer","Ability to work under pressure,  and coordination skills,  Governance skills,  Good knowledge of Government planning and reporting mechanisms,  Good communication skills (verbal and written),  Good time management skills,  Public Discourse and presentations skills,  Public service knowledge and decision making skills,  Research and development"
,Nationa Diploma,,Software Tester,"SQL,  Logging of Incidents,  Creating Test plans,  Creating Use cases ERD and Activity diagrams,  Writting queries on SQL,  Creating Test cases and executing them,  Sequence diagram,  Activity diagram,  Creating test cases"
,Oracle Certified Associate Java SE7 Programmer,,"Java,  PHP Developer,  Web Developer,  C# .NET Developer,  Database Administrator, Software Developer","css3,  java,  web design,  javascript,  sqlserver,  jsp,  html5,  mysql,  php"
,National Diploma of INFORMATION TECHMOLOGY,,IT Graduate Trainee,"access and internet explore,  powerpoint,  excel,  I have Computer skill microsot(word),  Javascript,  SQl,  Tibco BW and,  I have a programming skills PHP,  vb net"
