Course,Institutions
Bachelor in Technology In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Togaf 9 Certification,
Web and Application development,
System Development,
National Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
MCSD,
Certificate in Data Science,"Moringa School, eMobilis Training Institute"
National Certificate: Systems Support Engineering,
Adobe Photoshop Cs & In Design Cs,
B.Com Hons (Economics),
Bachelor Of Technology,
Diploma In Software Engineering,
Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Website Design Diploma,
Bachelor of Science Computer Sc,
M.A Psychology,
Mechanical Engineering,
BS Software Engineering,"Moringa School, eMobilis Training Institute"
Bachelor of Science  in IT,
Bachelor of Engineering (Elec),
Computer Systems Engineering,
Master of Business Administration (MBA),
Bachelor of Science (Honors) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Engineering Electronics ,
MCSE,
Bachelor in Technology : IT,
Web-Centric Application Designer And Developer,
Bachelor of Science,
Masters In Industrial Organisational And Labour St,
Bachelor of Commerce (Hons): Marketing Management,
Bachelor of Commerce,
Bachelor in Information Technology 4th Year Honours - Thesis Pending15,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Graduate Diploma,
Learn Ethical Hacking and Effective Counter Measures from Scratch,
Bachelor of Science  Computer Science And Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certified User Analyst,
Bachelor of Science  Computer Science and Mathematics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Masters of Science(Eng) Telecommuniction And Information Technolo,
Diploma in Business Analysis,
 Bachelor of Science in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelors in Computing with Honors,
National Certificate Business Analysis,
Doctor Of Philosophy,
Bachelor of Science  Eng Mechanical,
Bachelor of Commerce Marketing Management,
Financial Information Systems,
Bachelor in Technology,
Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Oracle SOA Suite 12c Certified Implementation Specialist,
CISCO,
 Bachelor of Technology,
N.Dip. Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Post graduate Diploma in Project Management,
Java Enterprise Programming Course,
Postgraduate Diploma in Programme Management,
N.Dip Engineering (Computer Systems),
Bachelor of Science  It Management,
CFA Level 3 Exam,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Advanced Buainess Analyst,
MS Software Engineering,
Bachelor of Science  Computer Science and Electronics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
JAVA SE 8  certificate,
National Certificate in Business Analysis,
Itil Version 3 Foundation,
Bis Information Science,
Multimedia Technology,
Python,
Oracle Certified professional,
Honours Bachelor of Commerce Information Systems,
Bachelor of Science Honours in Computing,
Green Belt Team Member Certification,
Adobe Analytics Certified Expert,
Sun Certified Java Programmer(Scjp),
Information Technolgy,
Bachelor Of Technology,
Financial Information Systems,
Cornerstone Lms Certification,
Postgraduate Diploma in Management (PDM),
Bachelor Of Commerce (Honours) Information Systems & Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Computer Science & Statistics Degree,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
