Course,Skills
Microsoft Certified Solutions Developer - Web Applications,"C#.,  Microsoft Visual Studio.Net (Asp.Net),  HTML/Jquery/CSS,  ASP.Net,  Microsoft Sql Server 2008 R2 (Sql),  Microsoft Sql Server 2005 (Sql),  sharepoint 2013,  microsoft sql sever 2012,  J2ee"
Computer Software engineering,"Pl/Sql,  oracle pl/sql,  oracle form,  Oracle Report,  oracle tools,  excell,  office,  Oracle Discoverer,  Excel"
Management Development Programme (MDP),"Television Broadcasting,  Script Editing,  Proposal Development,  Presentation,  Content Management,  Television Commissioning,  TV Presenting,  Content Development,  Brand Integration"
Computer Science,"php,  MYSQL,  CSS3,  HTML5,  SQL,  CRYSTAL REPORTING,  GOOGLE APP ENGINE,  JQUERY,  JAVASCRIPT"
Junior Management Programme,"SQL,  Excel,  SAS,  Word,  Power Point,  SharePoint Administration,  Matlab,  Python,  Visual Basic"
MBA,"Production Planning And Scheduling,  Excel,  Word,  Projects,  Power Point,  Publisher,  Project Management,  Staff-Skill Development,  Couching"
Bachelors Degree in Computer Science of Engineering,"TIBCO BW 5.x EMS RV Web Service and Tibco Administrator,  TIBCO palettes ADB Adapter,  SOAP WSDL and Service palette,  Databases such as Oracle 10G.,  TIBCO Administrator for User Management Resource Management and Application Management.,  Tibco BW EMS Tibco Administrator Data Base adapters File Adapters SOAP Utility and RV) SOA Client-Server and web service,  JDBC JNDI XML"
Mcts Winforms,"C#  - Wpf,  Winforms,  Asp,  Html,  CSS,  Javascript,  Java With Gwt,  Delphi,  PHP"
Bachelor of Science,"Software Development,  .Net C#,  WCF,  ASP.NET,  MVC,  SQL,  Software Design Patterns,  Web Forms"
Bachelor of Science Computer Science & Information Systems,"Software development,  Business Analyst,  Sage ERP X3,  ERP Consultant,  HansaWorld ERP,  Integration Specialist"
Financial Management For Non-Financial Managers,"Business Requirements Definition,  Technical Specifications,  Olap / Data Warehousing,  Interviewing And Information Gathering,  Running Of Workshops,  Microsoft Project 2000 And 2003,  Project Management,  Dimensional Modeling,  Training"
Asp Programming,"Photoshop 7.0,  Flash 5 & Mx,  Flash Actionscript,  Javascript,  HTML,  Dreamweaver,  ASP,  Visual Basic 6"
Business Information Systems,"Graphic Design,  Javascript,  Adobe Illustrator,  InDesign,  CSS,  .NET,  HTML,  Adobe Photoshop,  Corel Draw"
Scrum / Agile Development,"SQL,  Entity Frame work 6,  DevExpress GUI,  CSLA framework,  Windows Forms,  XAML,  WPF,  DevExpress Reports,  MS Office:Word"
Matric,"Business Analyst,  DBMS,  C#,  Assembler,  C++,  Infrastructure Mangement,  SQL,  IT Management,  Project Management"
Oracle Certified Professional  (Ocp ),"ssis,  oracle,  java,  plsql,  shell script,  Oracle Developer,  Etl Developer,  Informatica Developer,  Etl / Ssis Consultant"
PhD Bioinformatics,"Django,  Full stack,  MVC,  Web services,  Web development,  Python,  HPC,  React,  Knockout.js"
Sun Certified Business Component Developer For J2e,"Java,  EJB,  Jboss,  Eclipse,  JSP,  Struts,  ANT,  HTML,  XML"
Mba [Oxon],"Decision Support,  mis,  Facilitator,  Facilitations,  Recruitment,  Recruiting,  Management Consulting,  Motivating,  Organisation Development"
Oracle Certified Developer,"C,  Java, C#, Pl/Sql,  \uf0fc\tServlets,  Jsp,  Java Bean,  Jstl"
Bachelor of Science  Informatics,"Delphi Development - Database business applications,  business analysis,  Delphi (Android & iOS) Application development,  systems analysis,  web application development,  Delphi,  ASP .NET,  VB .NET,  International Shipping Management"
Senior Certificate,"salesteam leader,  drawing sales reports,  data capturing,  Computer literate,  Admin,  assisting with office work,  attend to walk in clients,  filing,  adminstration"
National Diploma Information Technolgy,"Pl/Sql,  Sql Server 2008/05,  Oracle Forms,  Oracle Designer,  Toad,  Java,  Jasper Report,  Eclipse,  Programming Knowledge"
Jsp And Ejb,"Front Page 2000,  HTML,  Sql Server,  Vignette Story Server,  ASP,  Photoshop,  tcl,  Javascript,  Visual Basic"
Bachelor in Technology Information Technology,"API,  Typescript,  SignalR,  USSD,  SQL,  Objective-C,  Angular2,  C#,  NTServices"
Bachelor of Commerce HONS INFS,"JQUERY,  LARAVEL,  JAVASCRIPT,  YII,  MYSQL,  PHP"
Seagate Crystal Reports,"Mysql,  PHP,  HTML,  Apache,  CSS,  Javascript,  Jquery,  Linux,  XML"
Diploma In Project Management (Faculty Training In,"As400 Rpg Programming,  Systems Implementation,  Project Management,  Visual Basic Programming"
Masters In Business Leadership,"Research,  Computer Skill,  Business Analysis,  Communication,  Project Management,  Leadership Skills,  Organized"
Master Of Business Admin Marketing,"Press Releases,  Content Management,  Online Marketing,  Account Management,  Presentation Skills,  Marketing,  Creative Communications,  Management,  Media Planning"
Bachelor of Science  Hons in Information Technology,"System Analysis,  Microsoft Office,  Web Designing and Applications,  Mobile App Development,  Network Programming,  API Integration,  Programming,  Databases,  API Intergration"
Bachelor of Science  Computer Science and information technology,"Computer Hardware repair,  visual studio,  Software Development,  HTML Developer,  CSS Developer,  MySql,  Java Developer,  Javascript Developer,  Oracle database and plsql Developer"
Diploma Computer Programming & Information Sys,Project Management
Certificate In Customer Service,"CSS,  ASP,  Bootstrap,  JS,  HTML5,  JQuery,  Developer,  Sap Crm,  Trainee"
Bachelor in Technology Information Technology,"Programming In Mapper,  Updating Websites,  System Development,  Programming,  Networking,  Webpage Design,  Pc Maintenance,  Vb.Net,  Networking"
Core Banking And Financial Services Level 5 (Nqf5),"trend analysis,  Data analysis,  SQL programming,  Qlikview development,  process automation,  fraud detection,  data mining,  dashboard development and design,  Dashboard Design And Automation"
Bachelor of Science  Computer Science and Informatics,"CSS3,  C#,  HTML5,  JavaScript,  ASP.NET,  JavaScript Chart Libraries,  JQuery,  Twitter Bootstrap,  Native Android Java"
Senior Certificate,"Sales,  Computer Skills,  Contract Management,  SAP"
Arcims - Web-Based Gis,"Application Development,  Database,  GIS,  Web Programming,  Project Management"
Comprehensive Programming Diploma,"a+,  Java,  Dhtml,  Sql Server 2000,  JSP"
UNIX SCO A.C.E,"SAP Netweaver 7.0],  SAP Disaster and Recovery,  Microsoft .NET,  Microsoft SQL Server,  SAP BI,  HANA Cloud Platform Integration,  SAP WorkForce,  C++,  SAP ECC"
Masters of Technology in Information Technology,"Javascript,  PHP,  HTML,  CSS,  Symfony,  Mysql,  XML,  Project Management,  Classic Asp"
Bachelor of Science Computer Science,"Microsoft Office,  Eclipse / Netbeans,  Web Programming (Php,  Javascript,  Xml,  Sql...),  Web Programming 2 (Jquery,  Html5),  Java (Including Some Android)"
Bachelor of Science  Honors In Information Systems,"Asp.Net C#,  Sql Server,  Asp.Net Vb.Net,  HTML,  Ajax,  XML,  Xhtml,  Jquery,  CSS"
Itil V3 Foundations,"Windows,  .NET,  C#,  Algorithms,  Web Service,  Software Design,  Communication Skills,  XML,  SQL Server"
Oracle Certified Java Professional,"SAPUI5,  HTML5,  Node.js,  Java,  MySQL,  JavaScript,  REST Web Services,  SAP ABAP,  SAP Mobility"
Bachelor of Science  Honours Information Systems Degree,"Graphic/Web Design,  Programming (Java; C++; Vb),  Business Intelligence,  Decision Support Systems,  Management Information Systems"
ISSD - Software Development,"MySQL,  CSS3,  Javascript,  jQuery,  HTML5,  Wordpress,  Bootstrap,  Greensock,  PHP"
PRINCE2 Practitioner,"Project Management,  Business Analyst,  Systems Analyst,  Software Development,  Client Engagement,  Budget Management,  Scope Management,  Requirements Gathering,  Quality Management"
Mcsd.Net : Exam Not Written,"Rpg Ii,  Iii, 400,  Iv(Ile),  Sequel & Sql Iseries,  Control Language Iseries,  Microsoft Office Products,  Sql Server 2000,  2005 & 2008"
Absolute Informational Management Principles,"It Infrastructure Management,  Information Analysis,  Project Management,  Project Management / Programme Management,  Strategy Formulation And Execution,  Team Leadership,  E-Business / E-Commerce Consultant,  Ict Requirements Analysis,  Information And Communication Technology Strategy"
Bachelor in Technology.,"Spring,  AWS,  Java"
Matric,"Remote Desktop,  Content management systems,  Wordpress,  Social Media,  Devexpress tools,  Flash FXP,  Telerik Tools,  website and email hosting,  Teamviewer"
certificate in fleet management,"fleet management systems,  MySQL database,  php development,  repairs and maintenance,  WordPress website development,  tracking device installation,  tracking technician WordPress,  fleet management,  Php developer"
Bachelor in Technology,"Nintex workflows,  infopath,  jquery,  SharePoint Designer,  Nintex forms"
Bachelor in Technology: Information Technology (Software Development),".Net Development (C#),  MS Dynamics CRM Extending,  JavaScript,  ASP .NET,  CSS,  HTML,  Microsoft SQL Server,  Web Services,  Web API"
Bachelor Of Science Informatics,"Oracle Pl/Sql,  Web Service Devlopment,  Web Development,  javascript,  sql,  angulajs,  jquery,  C#,  C#"
Project Support,"Administration,  Community Development,  Office Management,  Project Administration,  Microsoft Office"
Web And Graphic Development And Multimedia,"InDesign  CS3 - CC,  Photography,  Illustrator  CS3 - CC,  Photoshop  CS3 - CC,  Coral Draw 13,  Advanced Web Development,  HTML,  Design Techniques,  Business Communication"
Bachelor of Science  Information Technology Management,"Msdos,  Cobol,  Quick Basic Extended 7.0 + 7.1,  Retail & Treasury  Banking,  Msoffice Suite,  Visual Basic 5.0,  Project Management,  Systems Analysis And Design (Ssadm),  Visual Basic 6.0"
Intro And Advanced C++.Net,"Progress 9d,  C#.Net,  Database Administration Sql Server 2005,  Visual C + +"
Bachelor in Technology ,"systems analysis,  Microsoft Office,  UML,  MVC,  C#,  Adobe Premiere Pro,  SQL Server,  Adobe After Effects,  database design"
Bachelor of Science,"Microsoft Sharepoint Portal Server 2003,  K2.Net 2003,  Microsoft Exchange 2003,  Microsoft Active Directory 2003,  Microsoft Office Sharepoint Server 2007,  Microsoft Commerce Server,  Microsoft Cms"
Pg Diploma Management in Corporate Governance,"Customer Service,  Html,  Database Design,  Requirements,  Automation,  Client/Server,  Computer Hardware,  Customer Relations,  Database Administration"
Masters of Science Computer Science,"VB.NET,  Team Foundation Server,  Microsoft SQL Server,  ASP.NET MVC,  CSS3,  Javascript,  HTML5,  MySql,  PHP"
Diploma in web and application development,"HTML5  CSS3  Bootstrap  Jquery  Ajax  Adobe Flash,  PHP  JAVA  Java Script  Visual Basic  VB Script,  Mysql  Ms Sql,  ccc3,  bootsrap,  jquery,  javascripts,  php,  CSS3"
Bachelor of Science  Computer Science (Incomplete),"Good Communication And Writing Skills,  Asp.Net,  C#,  Sql Server,  Microsoft Office,  HTML,  Microsoft Access"
Imm Diploma Sales&amp;Marketing,"Customer Relations,  Account Management,  Closing,  Direct Marketing,  Administration,  Competitive Analysis,  Contract Management,  Business Communications,  Business Management"
Information Systems: Engineering,"Pc Assembly,  Windows 95/98/Xp/Me/2000,  Microsoft Office,  Networking/Lans,  Photoshop,  Java,  Microsoft Access,  Linux,  Html"
Wbs Management Advancement Programme,"Sql Server,  Project Management,  System Architecture Design And Documentation,  Technical Business Analysis,  Meeting Acumin,  Presentation Skills,  Sales Support,  Microsoft Project Server,  Vb.Net"
Bachelor Of Science (Bachelor of Science ),"Database Development (MS Access),  Microsoft Internet Information Server (Iis) 5,  SQL,  Visual Basic 4, 5, 6,  HTML,  Internet Development/Programming,  ASP"
Matric,Java Se
Diploma in Computer Systems,"Cisco CCNA,  jQuery,  Front-end Udacity certification,  Javascript,  HTML,  Wordpress,  Speaks French,  Craft CMS,  CSS"
Bachelor of Science Computer Science,"HTML,  Javascript,  Progress Programming,  XML,  JCL,  Ibm Mvs/Tso,  Cobol,  DB2,  Cics"
Matric,"Adobe Photoshop,  Adobe Dreamweaver,  Adobe Flash Professional,  Macromedia Freehand,  Cool Edit Pro,  Microsoft Office Word 2007,  Microsoft Office Powerpoint 2007,  Adobe Image Ready,  Adobe Premiere"
BCA,"J2ee,  Java,  JMS,  Struts,  Spring Batch,  Spring,  Spring web services,  Spring Integration,  GIT"
Postgraduate Diploma In Business Administration,"Facilitation,  Requirements Gathering,  Html & Xml,  Process Modelling,  Visio,  Project Management,  Com Programming,  SQL,  Visual Interdev"
Graduated,"CSS,  Xamarin,  Web Api,  Oracle,  WPF,  JavaScripts,  S.O.L.I.D,  Jquery,  Bootstrap"
National  Diploma in Mnagement Services,"Implement effective route planning and time management Teamwork skills,  Analytical skills problem solving and decision making ability,  Productivity improvement,  Project management,  Sound budget and financial reconciliation skills,  Scheduling and prioritization of tasks and resources Conflict resolution,  Skills development of team members,  management skill,  Business Management Skills"
Java Programming,"Internet,  Windows Xp,  Microsoft Office,  Pc Hardware,  C#,  Visual Basics .Net,  Graphic Design,  SQL,  Python"
Bachelor of Commerce Business Informatics,"Obiee 11g,  Ms Excel,  OBIEE,  sql,  Qlikview,  Tablea]"
Masters,"Psyhometric Testing,  Facilitation,  MS project,  word,  powerpoint,  exel,  outlook,  Lotus,  Team Building"
Python Developer,"Python Developer,  GIT,  SVN,  Javascript,  Sqlalchemy,  Postgresql,  Jquery,  Sphinx,  Baker"
Software Project Management Fundamentals,"Business Strategy,  Strategic Planning,  management,  product development,  digital strategy,  Digital marketing,  ecommerce,  Product Management,  Web Design"
Masters Business Administration Engineering,"Business Development,  Business Management,  Marketing,  Sales,  Strategy,  Business consulting,  Japanese,  Chinese,  Turkish"
Certificate in Web Design,"Illustration,  Photo-Editing,  Administration,  Art,  Photoshop,  Painting,  Problem Solving,  Microsoft Outlook,  Organisation"
Financial Markets,"Microsoft Office Professional For Windows,  u""Beginners Keyboard Skills"",  Assertive Skills,  Conflict Management,  Greg Culhane Financial Workshop,  Money Laundering,  Barclays Wealth Management"
M.Comm,"Education And Training Skill,  Presentation Skills,  Research Skills,  Consulting,  Facilitation Skills,  Communication Skills,  Hr Auditing,  Computer Skill,  Change Management Skill"
Bachelor in Technology Information Technology,"Administration And Use Of Syspro6.0 And Encore 5.1,  Windows 2000 Server Admin And Windows Nt,  Access Database Development,  Html,  Asp,  Javascript,  Flash,  Network (Programing Routers),  SQL"
Bachelor of Science  Computer Science and Information Systems,"Software Development,  System Analysis,  Oracle SQl,  Oracle APex,  Oracle PL/SQL"
Bachelor of Commerce(Hons) Informatics,"Mysql,  php,  CSS,  Computer Hardware,  Dreamweaver,  Visual Basic 6.0,  Data Mining,  Consulting,  .Net"
Graphic Design,"Photoshop Cs3,  Freehand,  Mac Microsoft,  Indesign & Illustrator Cs3,  Iworks"
Information Technology:Business Aplication,"IBM MQ,  IWAY,  SQL,  INTEGRATION,  HTML,  SUPPORT,  Microsoft Office 2007,  Outlook,  Swift"
